State,Voter Turnout,Total Ballots,Year,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
Montana,62.6,417916,2000,667525,676065,0.9,3105,0,0,3105
Nebraska,57.8,707223,2000,1224178,1266496,3.4,3895,21483,476,15113
Nevada,45.6,613360,2000,1346116,1523209,11.8,10063,12189,4056,20214
New Hampshire,65.0,578656,2000,890622,934176,2.7,2257,0,0,2257
New Jersey,58.8,3293378,2000,5601788,6356954,11.0,29784,130610,11709,106798
New Mexico,49.9,615607,2000,1234088,1318129,6.4,5342,10461,1670,12243
New York,56.2,6960215,2000,12380208,14344348,12.7,70198,0,57858,128056
North Carolina,52.5,3015964,2000,5744241,6143214,4.6,31532,105949,3352,87859
North Dakota,61.1,292249,2000,477968,482078,1.2,1076,0,0,1076
Ohio,57.8,4795989,2000,8295592,8487355,1.8,45833,0,0,45833
Oklahoma,,,2000,2475220,2568304,2.9,23181,30969,1825,40491
Oregon,65.9,1559215,2000,2364402,2595354,6.4,10580,0,0,10580
Pennsylvania,,,2000,9086897,9375146,2.4,36847,0,0,36847
Rhode Island,54.7,412074,2000,753877,804417,6.9,3286,20922,331,14078
South Carolina,48.7,1433533,2000,2944326,3025380,2.2,21778,44632,4378,48472
South Dakota,58.7,322159,2000,548498,554875,1.2,2616,0,0,2616
Tennessee,50.5,2100241,2000,4162996,4316391,2.2,22166,40682,8093,50600
Texas,49.2,6407637,2000,13033081,15138468,11.4,166719,441848,111719,499362
Utah,54.8,784582,2000,1431668,1534950,6.1,5632,0,0,5632
Vermont,64.7,297146,2000,459174,463503,2.0,0,0,0,0
Virginia,55.0,2789808,2000,5069265,5389008,5.6,30168,33955,5148,52294
Washington,61.4,2517028,2000,4098044,4419907,6.9,14915,154466,160,92308
West Virginia,,,2000,1390365,1405021,0.6,3856,6216,1112,8076
Wisconsin,,,2000,3842044,4016401,2.4,20612,53242,9923,57156
Wyoming,61.4,221685,2000,361078,366639,1.5,1680,4115,514,4252
United States,40.5,80295249,2002,198381939,215461549,8.0,1456927,2451708,485282,3168063
Alabama,,,2002,3285643,3371451,1.8,28440,39713,5309,53606
Alaska,54.5,232852,2002,427337,457154,3.8,4431,5229,900,7946
Arizona,36.7,1255615,2002,3419481,3998148,11.1,30741,66485,4587,68571
Arkansas,41.7,814176,2002,1951568,2031787,2.6,12378,27377,12128,38195
California,37.3,7738821,2002,20733192,25622609,18.8,163361,0,113185,276546
Colorado,46.6,1424029,2002,3056465,3362098,7.2,19085,0,6215,25300
Connecticut,45.1,1090756,2002,2418037,2617814,7.1,20525,0,2186,22711
Delaware,,,2002,564938,612919,4.4,6879,20201,551,17531
